solution_id,shower_code,vel_init_norot,vel_avg_norot,duration,mass,peak_mag_height,begin_height,end_height,peak_abs_mag,beg_abs_mag,end_abs_mag,F,trail_len,acceleration,zenith_angle,kurtosis,skew,kc,rho,sigma,erosion_height_start,erosion_coeff,erosion_mass_index,erosion_mass_min,erosion_mass_max,erosion_range,erosion_energy_per_unit_cross_section,erosion_energy_per_unit_mass
erosion_sim_v59.47_m3.14e-04g_rho0292_z48.5_abl0.041_eh119.7_er0.914_s1.59.json,sim_PER,59.46794218712942,58.95451343843518,0.1875,3.1384323558288053e-07,114.08171097353717,118.93005279004267,111.68292080272367,3.756595693221609,5.199317375982181,5.1862106371533905,0.6690014511932593,11.053971269706595,3.8619494088288393,48.5086678049794,-1.092895009687706,0.022719858088929172,32.15105342458834,292.5419500952126,4.082370691203169e-08,119.70766863702302,9.13752120504231e-07,1.5926296578332284,2.7391381570395374e-12,3.631049867525537e-12,0.12241827558399443,557653.75255691,2253133.7539826683
erosion_sim_v59.49_m2.96e-04g_rho0409_z51.3_abl0.019_eh116.2_er0.383_s1.51.json,sim_PER,59.48774915896021,58.66501061933726,0.4375000000000002,2.955340601874896e-07,102.56897206503639,111.64319389033317,95.90583656550257,4.667771432756632,5.796475338814311,6.255616771444946,0.5766039137320315,25.665942145960063,4.903655919028427,51.324081677239114,-0.9482546354219399,-0.17720261511392826,24.85331170523746,409.6617140411988,1.8786826363435433e-08,116.18516085399324,3.8299206600818477e-07,1.5064152368639985,5.365262510188566e-11,1.4284935796448998e-08,2.4252873169185367,838898.6725731345,2762753.337351405
erosion_sim_v59.51_m4.48e-04g_rho0201_z63.7_abl0.034_eh112.1_er0.749_s2.32.json,sim_PER,59.50600287721923,59.239647695881125,0.25,4.481777975628345e-07,110.96887400424156,117.2509683524471,110.96887400424156,3.094479335255509,6.6357846447149536,3.094479335255509,1.0,14.809911923970281,0.8584871593205831,63.694145054837044,1.1805580009770056,-1.4101064651219737,30.45105998135486,201.0166369627024,3.448351618495031e-08,112.08441174027074,7.489508904164201e-07,2.319114164655893,5.2968485781275404e-14,8.6894289713956e-14,0.21497367971956827,1891148.4521679373,8713772.369460475
erosion_sim_v59.55_m2.24e-04g_rho0652_z39.3_abl0.029_eh112.3_er0.523_s2.87.json,sim_PER,59.54887860707057,59.104186036142195,0.21875,2.2445855539607802e-07,105.64395621569395,111.3371523905383,101.40468223254291,4.172455834675911,5.780755347661975,8.0,0.573190362949288,12.929040695406105,4.4043378222967435,39.26369305143428,-1.1118310806047094,-0.030536767263922345,24.513705837973646,652.7571106841918,2.878800999834756e-08,112.33250047103765,5.232184698521624e-07,2.8680494905569907,3.552168863781807e-11,4.401861191072901e-09,2.093142740144735,1051608.1043658087,2782442.2927999
erosion_sim_v59.55_m2.96e-04g_rho0171_z65.8_abl0.041_eh116.9_er0.714_s2.70.json,sim_PER,59.55052730256944,59.21426391868476,0.4375,2.957435921688236e-07,115.2590589040297,120.30641892259395,110.251406785589,4.517391691651659,7.10639443217628,6.640053140293347,0.5019745326799463,25.90624046442458,1.0034306335492889,65.84383356389158,-0.31139411615431234,-0.0848280619160506,33.482067597457785,171.77918982888582,4.060566927827934e-08,116.89954908695252,7.140267216102771e-07,2.6982423780049207,5.784428917751122e-12,1.178088629355218e-08,3.308917475705769,1191458.7767569316,7002378.411138133
erosion_sim_v59.59_m4.59e-03g_rho0286_z72.7_abl0.046_eh119.0_er0.723_s2.69.json,sim_PER,59.58930189845267,59.28250457829064,0.5625,4.591997750761786e-06,116.91700612402194,118.89138680064917,110.09863283181646,1.4353870781123943,5.571571838124874,6.129898628269467,0.22454633481452277,33.346408825288485,1.1401500211552813,72.7410640513303,-0.6859851509798118,0.3548354525892165,32.04576393753027,286.6439215267476,4.622921900405941e-08,119.02052682274895,7.228038375843672e-07,2.692044148520809,2.0522486199171673e-12,1.7772743898708466e-09,2.9375245105595074,1333709.686144104,2233320.036296053
erosion_sim_v59.61_m1.24e-04g_rho0892_z44.3_abl0.039_eh119.1_er0.867_s2.33.json,sim_PER,59.610446429679484,59.48322013656097,0.125,1.2406380537927332e-07,117.30655211542135,118.6265896002436,113.34997881356158,4.518770098476207,6.185692416281631,5.779356362238726,0.2501676811475232,7.435402517070122,0.49220009032062473,44.284717106926706,-0.9095744451095862,0.3777212352109379,31.76937279050233,892.6746255304245,3.937632071432347e-08,119.13952137916282,8.667081148370958e-07,2.330073327641052,3.705127514861288e-14,3.8037848197289295e-14,0.011412781745894662,546923.1409786047,1431202.7989696197
erosion_sim_v59.61_m1.70e-03g_rho0130_z63.7_abl0.012_eh108.4_er0.736_s2.21.json,sim_PER,59.606783402440485,58.57616615170418,1.125,1.7043020658411722e-06,104.01447656586114,122.07087526618999,94.22602697939028,2.9565764629182882,7.345943097251224,6.804003551040759,0.6484646105573779,65.8981869206672,2.845979356602479,63.68917648780074,-0.1185083875839954,-0.515357361107754,35.21566666906568,130.96298091074993,1.203719237601113e-08,108.35824726961671,7.35848099020638e-07,2.210490731849523,4.707247723004002e-11,6.751625708892631e-09,2.1566413041897263,3090090.6051526903,12137857.262722572
erosion_sim_v59.70_m6.39e-03g_rho0989_z63.3_abl0.032_eh105.5_er0.657_s1.91.json,sim_PER,59.70427369402588,59.55963283108272,0.40625,6.394074764399776e-06,104.92511674732218,112.10888728995984,101.75373081538093,-0.26729738568534955,5.698007428925672,8.0,0.6937384828779026,24.196100837627355,0.8519993550517992,63.34475991675298,-0.8315044243268925,-0.6173961995812374,25.200272780123967,989.3661919718136,3.217812079168385e-08,105.54219156042298,6.570008659244893e-07,1.9116913860478608,1.2067464475676364e-14,2.2236673555982163e-11,3.2654537914729325,4604406.677610338,3023164.4001980014
erosion_sim_v59.71_m1.80e-04g_rho0822_z34.9_abl0.021_eh119.5_er0.447_s2.36.json,sim_PER,59.70693202352891,59.172059588128164,0.28125,1.8007118992883076e-07,104.66168857222799,115.27271289752781,101.68261072346417,4.697269249151191,6.361765596479926,5.604975492387165,0.7807906216886791,16.642141759161046,4.803862535310096,34.88287304402028,-0.9758168955365276,-0.09029941471617729,28.362643356521914,822.5538391941418,2.135257924540864e-08,119.53996945703739,4.469117913054863e-07,2.356779379203953,2.6380237133602178e-11,1.9089410720612953e-10,0.8595138270456957,461137.9530453171,1125533.9614664621
