alt_km,rho_mars_kg_m3,real_rho_mars_kg_m3,multiplier,
80,2.52E-06,2.52E-06,1.00E+00,http://www-mars.lmd.jussieu.fr/mcd_python/cgi-bin/mcdcgi.py?var1=rho&var2=none&var3=none&var4=none&datekeyhtml=1&ls=160.3&localtime=0.&year=2025&month=10&day=24&hours=18&minutes=41&seconds=6&julian=2460973.278541667&martianyear=38&sol=337&latitude=0&longitude=0&altitude=80000&zkey=3&spacecraft=equator&isfixedlt=off&dust=1&hrkey=1&averaging=loct&dpi=80&islog=off&colorm=jet&minval=&maxval=&proj=cyl&palt=&plon=&plat=&trans=&iswind=off&latpoint=&lonpoint=
75,5.04E-06,5.04E-06,1.00E+00,http://www-mars.lmd.jussieu.fr/mcd_python/cgi-bin/mcdcgi.py?var1=rho&var2=none&var3=none&var4=none&datekeyhtml=1&ls=160.3&localtime=0.&year=2025&month=10&day=24&hours=18&minutes=41&seconds=6&julian=2460973.278541667&martianyear=38&sol=337&latitude=0&longitude=0&altitude=75000&zkey=3&spacecraft=equator&isfixedlt=off&dust=1&hrkey=1&averaging=loct&dpi=80&islog=off&colorm=jet&minval=&maxval=&proj=cyl&palt=&plon=&plat=&trans=&iswind=off&latpoint=&lonpoint=
70,1.03E-05,1.03E-05,1.00E+00,http://www-mars.lmd.jussieu.fr/mcd_python/cgi-bin/mcdcgi.py?var1=rho&var2=none&var3=none&var4=none&datekeyhtml=1&ls=160.3&localtime=0.&year=2025&month=10&day=24&hours=18&minutes=41&seconds=6&julian=2460973.278541667&martianyear=38&sol=337&latitude=0&longitude=0&altitude=70000&zkey=3&spacecraft=equator&isfixedlt=off&dust=1&hrkey=1&averaging=loct&dpi=80&islog=off&colorm=jet&minval=&maxval=&proj=cyl&palt=&plon=&plat=&trans=&iswind=off&latpoint=&lonpoint=
65,2.05E-05,2.05E-05,1.00E+00,http://www-mars.lmd.jussieu.fr/mcd_python/cgi-bin/mcdcgi.py?var1=rho&var2=none&var3=none&var4=none&datekeyhtml=1&ls=160.3&localtime=0.&year=2025&month=10&day=24&hours=18&minutes=41&seconds=6&julian=2460973.278541667&martianyear=38&sol=337&latitude=0&longitude=0&altitude=65000&zkey=3&spacecraft=equator&isfixedlt=off&dust=1&hrkey=1&averaging=loct&dpi=80&islog=off&colorm=jet&minval=&maxval=&proj=cyl&palt=&plon=&plat=&trans=&iswind=off&latpoint=&lonpoint=
60,3.78E-05,3.78E-05,1.00E+00,http://www-mars.lmd.jussieu.fr/mcd_python/cgi-bin/mcdcgi.py?var1=rho&var2=none&var3=none&var4=none&datekeyhtml=1&ls=160.3&localtime=0.&year=2025&month=10&day=24&hours=18&minutes=41&seconds=6&julian=2460973.278541667&martianyear=38&sol=337&latitude=0&longitude=0&altitude=60000&zkey=3&spacecraft=equator&isfixedlt=off&dust=1&hrkey=1&averaging=loct&dpi=80&islog=off&colorm=jet&minval=&maxval=&proj=cyl&palt=&plon=&plat=&trans=&iswind=off&latpoint=&lonpoint=
55,6.67E-05,6.67E-05,1.00E+00,http://www-mars.lmd.jussieu.fr/mcd_python/cgi-bin/mcdcgi.py?var1=rho&var2=none&var3=none&var4=none&datekeyhtml=1&ls=160.3&localtime=0.&year=2025&month=10&day=24&hours=18&minutes=41&seconds=6&julian=2460973.278541667&martianyear=38&sol=337&latitude=0&longitude=0&altitude=55000&zkey=3&spacecraft=equator&isfixedlt=off&dust=1&hrkey=1&averaging=loct&dpi=80&islog=off&colorm=jet&minval=&maxval=&proj=cyl&palt=&plon=&plat=&trans=&iswind=off&latpoint=&lonpoint=
50,1.12E-04,1.12E-04,1.00E+00,http://www-mars.lmd.jussieu.fr/mcd_python/cgi-bin/mcdcgi.py?var1=rho&var2=none&var3=none&var4=none&datekeyhtml=1&ls=160.3&localtime=0.&year=2025&month=10&day=24&hours=18&minutes=41&seconds=6&julian=2460973.278541667&martianyear=38&sol=337&latitude=0&longitude=0&altitude=50000&zkey=3&spacecraft=equator&isfixedlt=off&dust=1&hrkey=1&averaging=loct&dpi=80&islog=off&colorm=jet&minval=&maxval=&proj=cyl&palt=&plon=&plat=&trans=&iswind=off&latpoint=&lonpoint=
45,1.84E-04,0.000183605,1.00E+00,http://www-mars.lmd.jussieu.fr/mcd_python/cgi-bin/mcdcgi.py?var1=rho&var2=none&var3=none&var4=none&datekeyhtml=1&ls=160.3&localtime=0.&year=2025&month=10&day=24&hours=18&minutes=41&seconds=6&julian=2460973.278541667&martianyear=38&sol=337&latitude=0&longitude=0&altitude=45000&zkey=3&spacecraft=equator&isfixedlt=off&dust=1&hrkey=1&averaging=loct&dpi=80&islog=off&colorm=jet&minval=&maxval=&proj=cyl&palt=&plon=&plat=&trans=&iswind=off&latpoint=&lonpoint=
40,2.98E-04,0.000297785,1.00E+00,http://www-mars.lmd.jussieu.fr/mcd_python/cgi-bin/mcdcgi.py?var1=rho&var2=none&var3=none&var4=none&datekeyhtml=1&ls=160.3&localtime=0.&year=2025&month=10&day=24&hours=18&minutes=41&seconds=6&julian=2460973.278541667&martianyear=38&sol=337&latitude=0&longitude=0&altitude=40000&zkey=3&spacecraft=equator&isfixedlt=off&dust=1&hrkey=1&averaging=loct&dpi=80&islog=off&colorm=jet&minval=&maxval=&proj=cyl&palt=&plon=&plat=&trans=&iswind=off&latpoint=&lonpoint=
35,4.95E-04,0.00049467,1.00E+00,http://www-mars.lmd.jussieu.fr/mcd_python/cgi-bin/mcdcgi.py?var1=rho&var2=none&var3=none&var4=none&datekeyhtml=1&ls=160.3&localtime=0.&year=2025&month=10&day=24&hours=18&minutes=41&seconds=6&julian=2460973.278541667&martianyear=38&sol=337&latitude=0&longitude=0&altitude=35000&zkey=3&spacecraft=equator&isfixedlt=off&dust=1&hrkey=1&averaging=loct&dpi=80&islog=off&colorm=jet&minval=&maxval=&proj=cyl&palt=&plon=&plat=&trans=&iswind=off&latpoint=&lonpoint=
30,8.58E-04,0.00085769,1.00E+00,http://www-mars.lmd.jussieu.fr/mcd_python/cgi-bin/mcdcgi.py?var1=rho&var2=none&var3=none&var4=none&datekeyhtml=1&ls=160.3&localtime=0.&year=2025&month=10&day=24&hours=18&minutes=41&seconds=6&julian=2460973.278541667&martianyear=38&sol=337&latitude=0&longitude=0&altitude=30000&zkey=3&spacecraft=equator&isfixedlt=off&dust=1&hrkey=1&averaging=loct&dpi=80&islog=off&colorm=jet&minval=&maxval=&proj=cyl&palt=&plon=&plat=&trans=&iswind=off&latpoint=&lonpoint=
25,1.50E-03,0.001496731,1.00E+00,http://www-mars.lmd.jussieu.fr/mcd_python/cgi-bin/mcdcgi.py?var1=rho&var2=none&var3=none&var4=none&datekeyhtml=1&ls=160.3&localtime=0.&year=2025&month=10&day=24&hours=18&minutes=41&seconds=6&julian=2460973.278541667&martianyear=38&sol=337&latitude=0&longitude=0&altitude=25000&zkey=3&spacecraft=equator&isfixedlt=off&dust=1&hrkey=1&averaging=loct&dpi=80&islog=off&colorm=jet&minval=&maxval=&proj=cyl&palt=&plon=&plat=&trans=&iswind=off&latpoint=&lonpoint=
20,2.51E-03,0.002508839,1.00E+00,http://www-mars.lmd.jussieu.fr/mcd_python/cgi-bin/mcdcgi.py?var1=rho&var2=none&var3=none&var4=none&datekeyhtml=1&ls=160.3&localtime=0.&year=2025&month=10&day=24&hours=18&minutes=41&seconds=6&julian=2460973.278541667&martianyear=38&sol=337&latitude=0&longitude=0&altitude=20000&zkey=3&spacecraft=equator&isfixedlt=off&dust=1&hrkey=1&averaging=loct&dpi=80&islog=off&colorm=jet&minval=&maxval=&proj=cyl&palt=&plon=&plat=&trans=&iswind=off&latpoint=&lonpoint=
15,3.97E-03,0.003969536,1.00E+00,http://www-mars.lmd.jussieu.fr/mcd_python/cgi-bin/mcdcgi.py?var1=rho&var2=none&var3=none&var4=none&datekeyhtml=1&ls=160.3&localtime=0.&year=2025&month=10&day=24&hours=18&minutes=41&seconds=6&julian=2460973.278541667&martianyear=38&sol=337&latitude=0&longitude=0&altitude=15000&zkey=3&spacecraft=equator&isfixedlt=off&dust=1&hrkey=1&averaging=loct&dpi=80&islog=off&colorm=jet&minval=&maxval=&proj=cyl&palt=&plon=&plat=&trans=&iswind=off&latpoint=&lonpoint=
10,6.04E-03,0.006042055,1.00E+00,http://www-mars.lmd.jussieu.fr/mcd_python/cgi-bin/mcdcgi.py?var1=rho&var2=none&var3=none&var4=none&datekeyhtml=1&ls=160.3&localtime=0.&year=2025&month=10&day=24&hours=18&minutes=41&seconds=6&julian=2460973.278541667&martianyear=38&sol=337&latitude=0&longitude=0&altitude=10000&zkey=3&spacecraft=equator&isfixedlt=off&dust=1&hrkey=1&averaging=loct&dpi=80&islog=off&colorm=jet&minval=&maxval=&proj=cyl&palt=&plon=&plat=&trans=&iswind=off&latpoint=&lonpoint=
5,8.92E-03,0.008920581,1.00E+00,http://www-mars.lmd.jussieu.fr/mcd_python/cgi-bin/mcdcgi.py?var1=rho&var2=none&var3=none&var4=none&datekeyhtml=1&ls=160.3&localtime=0.&year=2025&month=10&day=24&hours=18&minutes=41&seconds=6&julian=2460973.278541667&martianyear=38&sol=337&latitude=0&longitude=0&altitude=5000&zkey=3&spacecraft=equator&isfixedlt=off&dust=1&hrkey=1&averaging=loct&dpi=80&islog=off&colorm=jet&minval=&maxval=&proj=cyl&palt=&plon=&plat=&trans=&iswind=off&latpoint=&lonpoint=
0,1.46E-02,0.014646443,1.00E+00,http://www-mars.lmd.jussieu.fr/mcd_python/cgi-bin/mcdcgi.py?var1=rho&var2=none&var3=none&var4=none&datekeyhtml=1&ls=160.3&localtime=0.&year=2025&month=10&day=24&hours=18&minutes=41&seconds=6&julian=2460973.278541667&martianyear=38&sol=337&latitude=0&longitude=0&altitude=0&zkey=3&spacecraft=equator&isfixedlt=off&dust=1&hrkey=1&averaging=loct&dpi=80&islog=off&colorm=jet&minval=&maxval=&proj=cyl&palt=&plon=&plat=&trans=&iswind=off&latpoint=&lonpoint=
